,basic_clean_text
0,gangster sets fulfill father dream becoming doctor doctor west bengal like munna bhai mbbs doctors fight back doctors strike doctors oppression 
1, white supremacy though means whites thinking acting though superior others jew muslim joint actions concerned protecting stuff like halal kosher circumcision right wear religious garb 
2,sit ass tape fingers duct tape mouth throw cage immigrants problem solved vision america free trump darn woke dems nothing fuck trump fuck gop fuck civility impeachment inquiry 
3,absolutely right government support armed forces day enlist rest lives veterans given much would dereliction duty harness potential 
4,timewear analogue white round dial leather strap watches doctors fight back save bengal amazon flipkart deals deal day amazing deals offers discount jai shree ram modi 
5,room baithke keise pata chalta hei write mamata banerjee protesting lynching doctors west bengal 
6,congress abusive language towards modi parliament unacceptable punish gandi naali abuse
7, since biggest deadbeat fraud calls fraud rest humanity kissing rectum calls truth know trump handle truth fuck trump comrade trump putins puppet cadet bone spurs making america garbage maga
8,shame icc even local cricket tournament better management planning thankyou spoiling worldcup 
9, proud muslim society never favour rapist criminal traitor true india muslim aligarh murder case
10,gee seen fuck trump impeach donald trump leaked docs reveal russian effort exert influence africa
11,congress forget modi india definitely deserves respect congress immediately apologize low standard comment congress gandi naali abuse gandi naali insult bjp
12,yeah joy fuck trump
13, usa got involved salvador muslim countries 
14,joy joy call hand call hand anxious face sweat anxious face sweat buy fuck trump hat today took price free shipping click link bio pre order chinga trump hat call hand love gesture fist oncoming flexed biceps peace win miss obama dump trump resist impeach etsy
15, quiet racist scarecrow orange face get fuck trump fuckthegop impeach trump 
16,pakistani players offered namaz many times ground never get objection icc dhoni wear army insignia gloves dhoni keeps glove
17, dear sanjay jha tweet reflecting frustration towards success bjp modi modi govt rather saying bullshit better concentrate coming elections hope party wil get reverse lok sabha elections 2024 congress mukt bharat modi 2024 
18, thousands spectators flocked england various parts globe severe disappointment rate even fair game anymore icc world cup shame icc
19, know power hungry forgotten vile woman narasimha rao legacy congress mukt bharat
20, destroy country like defending country treasonous traitor white house trump traitor trump taxes trumps international disgrace trump must resign
21, also lied cheated committed crimes america broken emoluments laws nepotism spread corruption conspired russia banked millions tax dollars dumbf ks censored cheer become accomplices trump fraud trump traitor
22, boris johnson boris johnson arrested along rest quite literally quite openly plotting cause severe damage foreign power would call act war 
23,bbc news waltham forest pride police probe homophobic abuse video disgrace islam
24, seriously gross image especially john cain day john cainisa hero trump coward trump traitor john cain day june 14
25,petition moron swastika sobrante front yard knock resist resist trump fuck trump
26, one rare time agreed dhoni keeps glove
27,icc objection gloves pakistani show agree retweet much double standers dhoni keeps glove
28, give vast amounts money spend covering child rape spend starving dickhead
29, genius junior dumbass take care children already way many children trump crime family fostered trump traitor
30, destroyed country need dragged ugly orange roots pissed impeach trump fuck trump
31,demand justice twinkle sharma shame constitution face without mouth rapist knock phasi
32, bcci icc stupid ravi shastri Kick ass karo saala har cheez mein fail hoga 
33,rangzen people whatever possible stop fake activist sabotaging free tibet movement tibetans human rights boycott china dharamsala march 10 tibetan dalai lama rangzen
34, every time log twitter shaming going shame karan johar shame rohit shetty shame icc
35,kolkata muslims write mamata banerjee denial normal let culprits attacked doctors ushoshie get away muslims
36,happy birthday shit happens god bless good health long life sir 
37, bozo happy country deciding much scrutiny gets less better appears face rolling eyes fucks sake boris johnson 
38, everyone waited years see england rains proud moment clap clap clap shame icc ind cwc pak ind ind cwc team india cwc 2010 dhoni dhoni keeps glove
39, good news murderer money still good call hand light skin tone 1 light skin tone buck
40,another good reason reveal identity rape accused man might innocent people mistake someone else name preposterous karan wahi rapist 
41,thankful prime minister shri reposing faith leadership continued support great source inspiration assure put best efforts serve people country 
42, told islam fair point discussing islam disgrace treats women unequals society would western country politician want import cult sheer madness 
43, owner small family farm let first say fuck trump 
44,remember real president white house ass hole days maga fox news fuck trump via 
45, well technically yes think lot effort people pages follow built time accept time worth fuck trump bye felicia
46,probably got mashed sure dickhead
47, fuck say fucking medical fucking medical work hard shit denial normal come criticism shit want beef sort properly still dickhead
48, douche bags going realize economic gains continuing trends obama administration also negate racist asshole like battered wife making excuses staying relationship fuck trump
49,watching rain star sports peacefully world cup matches interuppt shame icc
50, case ca believe yet want sit know job please transfer case ca believe afraid I jewels I jewels fraud I fraud I I fraud case
51,shame icc remaining get washed ind eng aus pak bang away game semi final aus rain continues eng ind rain continues ind final ind rain continues india win jointly rofl rofl 
52, informant government started republicans gave fbi unlike trump traitor
53,boris becomes new conservatives totally lost vote tax cuts higher earners raising personal tax allowance bottom instead allowing struggling families feed kids idiot boris johnson 
54,ramalingam murder man headed dawah team arrested tamil nadu
55,layleen polanco trans woman found dead u year resist resist trump fuck trump
56,real scenario muslims fakes jai shree ram controversy sen right shout intolerance increased modi must resign real scenario muslim mob attackes doctor tmc goons attack professor asking shout mamata beham zindabad sen consumed fevicol
57,lazydocker simple terminal User Interface docker docker compose 
58, massive crowd doctors protesting call kolkata suppression atrocities govt reached peak people west bengal tolerate save bengal friday motivation doctors fight back
59,dear much hypocrisy humble request fellow indian supporters going watch upcoming matches stadium take balidaan badge insignia especially indv pak match held on16th june dhoni keeps glove cwc cott icc
60, fight back donnie dump unconstitutional question new census asks citizen check citizen fuck trump
61, new law fake promises coming save doctors savethesaviour doctors strike doctors assualt doctors fight back
62,dear doctors respect get nothing front hardwork sacrifices put get degree stop politicizing profession nothing politics humanity act like humans folded hands doctors fight back istandwith nrs doctors oppression
63, defend resign
64, loser senile assface stable genius racist rapist pervert treason resist unstable president
65, realise ever broken ever allowed operate fully first place british government oppression 
66, imagine end first term consider reply elected another years let america democracy defend vote resist together trump traitor
67,unfollow trump unfollow trump unfollow trump unfollow trump unfollow trump unfollow trump break little fuck trump 
68,seen deccan chronicle bangalore karnataka india today looks like made good impression internationally debate brexit conservative leadership boris johnson 
69, rape still crime right rapist gets parental rights bank robber get keep money 
70,spycam lesbians kazakhstan dating sites cum grannies doctors oral sex pussy fuck ass fucked girl getting fucked clips nipples sex pretty hot tasty ass fucked fuck housewife girls real sex sex stories real nipples cock picture twitter com xtsnynh8oi
71,interviewer beating protesting doctors done anything wrong policeman doctors fight back
72,shame icc dvs cwc new logo world cup point point point 
73, parrots clear doubles home vans pitches party survival priority brexit nodeal exit strategy boringly flat regurgitated red white blue brexit going make success douchebag
74, remarkable trump traitor trump must trump must resign happy john cain day
75, correct trust trump traitor
76,billion people waited four years watch rains england shame icc 
77, doctors protest doctors oppression doctors fight back well done friends meet arrogant mamta government must pass ordinance protect medical staff urgent basis mamta frustrated india west bengal
78,trump tweets epic interview fail gets mocked like clown trump traitor vote blue 2020
79, outsider outsider outsider outsiders outsiders outsiders doctors fight back doctors protest
80, tweet solidarity doctor friends across country deserve better way better doctors fight back 
81,imran hatao mulk bachao imran khan must retweet must watch budget 2019 awam dushman budget imran khan addresses nation must retweet
82,doctors fight back angry relatives patients roughing mishandling doctors old story protest doctors counter misbehaviour bjp achieved first converting muslims doctors 
83,gandi naali abuse hey supporters gandi naali ab say person know hindi intending speak italian language language indian parliament abuse apply shower 
84, sir point relevant real economist inspire western countries economy different economy issues different economy based agriculture small scale industries businesses 
85, doctor onbehalf entire medical fraternity savethedoctors savethesaviour doctors protest doctors fight back medical student doctors strike doctors oppression
86,driving sepulveda boulevard morning stop pull take picture fuck trump _revok_ van nuys los angeles photography nuys california
87,holy sh censored denial normal know bigger douchebag canada good point
88, treason republicans senate complicit fucktrump fire point right light skin tone mushroom point left light skin tone fire
89, keenly look What gloves cannot properly plan tournament vch comes years cwc rain stops match shame icc
90,far matches dusty rain understand making biggest event dhoni gloves look much smirking face cwc dhoni keeps glove
91,kellen winslow trial guilty rape indecent exposure lewd conduct convicted rapist rapist homelesswoman homeless chargers sexual harassment sexualassault sexualmisconduct sexabuse sex assault sex crimes nfl
92, hitched trump train lies today chris get education dragged mud sad vote blue matter trump traitor 
93, shut chuckles dads one less child thanks murdered illegals leave democrat turn father day politics penis head
94, georgepopodoplis say george popodopolis benghazi trump russia hire best people benghazi gym jordan milkshake douchebag
95, wonder cult followers going watch since news station fox trump traitor trump russia trumps international disgrace
96,ivs atlanta gabe kapler look like needs good ass whipping douchebag
97,dhoni keeps glove dhoni keep glove dhoni saath desh sir please change gloves please sir 
98,share trophy yes kane icc retains kumar dharma sena elite panel world cup robbed back umpiring errors message icc building robbed back blackcaps
99,obvious whole thing staged 
100, doctors fight back violence unleashed time address faltering justice systems crippled health systems broken dreams
101, congress started abusing day pathetic tragic matilaal jawaharlaln indirag character corrupt indirag maganga modi gandi naali even bastards never speak language hate parliamentarians gandi naali abuse
102,beating thailand home commendable performance congratulations new coach 
103,seems trump supporters denial normal understand respect works earned action intention accomplishments fuck trump gods false gods
104,samiibrahim pakvs ind fawad chaudhry hindu samarajya diwas doctors fight back boycott bank falah hahaha type bhikhari google search popping imran khan pictures joy joy joy joy joy
105,yes thanks trump fuck trump
106,india worst phase aaj hindu muslim horaha hello kal Stop That hoga ffir general obc chalega indeed steeped new india whatever guys correct zomato
107,barack obama freestyle trump diss mixtape freestyle obama freestyle trump diss barz free thinking thug life barack obama donald trump fuck donald trump fuck trump
108,trump forgetting jonah incident admits talks prince whales resist resist trump fuck trump
109, agree hand rofl joy rofl douchebag
110,trump traitor period trump traitor
111,kamala harris trump clear present threat democracy resist resist trump fuck trump
112, poor effort 1 light skin tone 1 light skin tone dhoni keeps glove
113, hum ump would like pull trigger rethuglicans position use terrible results way hold thought bit longer besides penis head could possibly win another term removed office 
114, boris even debate conservative colleagues cope delegates boris johnson 
115, god getting even murderer
116, start get prison ever get help immerse back society cains hero day fuck trump treason impeach trump resign trump traitor trump
117,senior cabinet ministers reported hatched plans force candidates withdraw race boris johnson march 4 change stop brexit fbpe sodem
118,hey strike workers doctors fight back cost 
119,shame icc situation happens india whole world blame management currently england one saying anything guys need make hashtag trend realise worst management wrong decision dhoni 
120, ken dilanian everybody douchebag
121, icc better start arresting politicians fuck wrong commit genocide around fucking world sfa reply killing people god damned world icc held acctable 
122, able see balidan batch gloves able see clouds poorly managed icc shame icc
123,fans wait years time format great brainless planning venue ruined charm really wish atleast matches get washed away forced reschedule abandoned match pathetic cares thid shame icc
124,even crashed market bankrupted casinos know national debt time high reimburse people loan money trump traitor denial normal con
125, always dickhead
126,dhoni use temporary tattoo neck logo icc nothing tattoo dhoni dhoni keep glove dhoni keeps glove dhoni keep gloves cares 2019
127, still serving murder conviction murderer gamed system
128, king nation olden days person equivalent would uttered abuse thrown modi today king durbar head would rolled ground word uttered proportion pack leave india gandi naali abuse
129,please save evm manipulations clean sweep
130, let door hit ass way douchebag
131, donald fuck trump greatest many people say probably greatest ever global laughing stock tre nenough tre enough dump trump
132, biggest fans week asadowaisi warispathan aimimfansclub thank via
133,fuck republicans biggest snowflakes ever face rolling eyes funny list words describes fat racist ignorant hideous moron absolutely perfectly please get rid fucking demented delusional criminal fuck trump arrest trump impeach motherfucker traitor impeach donald trump 
134,gandi naali abuse insult constitution democracy nation 
135, name islam room disgrace injustice women pakistan 
136,gandi naali abuse nthe must kicked 
137,dirty john bravo holy crap guy los gatos neck woods silicon valley san jose scary murderer
138,racist everywhere fuck trump ayres suites ontario mills mall
139, would spain stop selling tomatoes brexit 
140, orange juice father left nicole laying dead walkway think kids would say found asking friend jdidit murderer fuck 
141, finds orange juice simpson murderer
142,yeah even muslims denial normal eat halal loves sex hindu women halal
143, record labels label owners kill talent sha awon penis head
144,proud alma mater violence doctors duty acceptable kar doctors fight back doctors protest
145,think majority giving benefit doubt let see oct
146,please come along years many close manus island bring detention refugees welcome
147,justin bieber challenges boris johnson television debate tory leadership debate boris johnson justin bieber politics comedy boris johnson 
148, fucking jobs fuck trump votes need worry going vote democratic non working asses 
149, course nascar header red maga hat one ounce sense idiot trump
150, treasonous enemy people posting poll results failing indict trump impeachment inquiry trump trump russia trump traitor trump must resign
151, man completely nailed mamata politics hypocrisy doctors fight back
152,jarvis muslims may slaughter animals feed selves poor people hindus killng lynching muslims americans killed hundred people drones attack pak justify 
153,impeach trump need remove motherfucker right america fallen idiots fucktrump
